Title,Company,Location,Salary,URL
Python Developer,PRODAT IT SOLUTIONS (INDIA) PVT. LTD,"JP Nagar, Bengaluru, Karnataka","Up to ₹5,00,000 a month",https://in.indeed.com/viewjob?jk=7392ba1fd5d8569c&from=shareddesktop_copy
Python Developer - Mid Level,White Blink,"Bengaluru, Karnataka","₹12,75,000 a year",https://in.indeed.com/viewjob?jk=cd83bd30e0948dfc&from=shareddesktop_copy
Python Developer,Zeksta Technology Pvt Ltd,"BTM Layout, Bengaluru, Karnataka","₹3,89,966.71 - ₹6,00,000.00 a year",https://in.indeed.com/viewjob?jk=2d6bb710698f36e7&from=shareddesktop_copy
Python/Django Developer,Sadup Softech,"Bengaluru, Karnataka","₹82,257.72 - ₹2,50,000.00 a month",https://in.indeed.com/viewjob?jk=d298818ec8b262f6&from=shareddesktop_copy
Python Developer(Django / Flask),Mantra labs Global software pvt ltd,"Bengaluru, Karnataka","₹3,88,384.74 - ₹16,60,208.12 a year",https://in.indeed.com/viewjob?jk=5b2eb0425d304423&from=shareddesktop_copy
Python Developer(Django / Flask),Mantra labs Global software pvt ltd,"Bengaluru, Karnataka","₹3,88,384.74 - ₹16,60,208.12 a year",https://in.indeed.com/viewjob?jk=123456789abcdef0&from=shareddesktop_copy
Python Developer,OneFin,"Unknown, Karnataka","₹8,00,000 - ₹15,00,000 a year",https://in.indeed.com/viewjob?jk=dc5d882d8e3d1eae&from=shareddesktop_copy
Python Full Stack Developer,Technology Next,"Bengaluru, Karnataka","₹30,00,000 - ₹35,00,000 a year",https://in.indeed.com/viewjob?jk=6b13089230221df6&from=shareddesktop_copy
"Python Backend Developer (Django, DRF, MySQL, MongoDB, Snowflake, Celery)",Bluewings,"Electronic City, Bengaluru, Karnataka","₹40,000 - ₹80,000 a month",https://in.indeed.com/viewjob?jk=a81470852cfc6f6d&from=shareddesktop_copy
Mid Level Python Developer,Zebu Animation Studios Pvt Ltd,"Bengaluru, Karnataka","₹35,000 - ₹45,000 a month",https://in.indeed.com/viewjob?jk=e1dafe8db32f9cc1&from=shareddesktop_copy
Developer - Python,Wipro Limited,"Bengaluru, Karnataka",N/A,https://in.indeed.com/viewjob?jk=ddfc4be84a4161e4&from=shareddesktop_copy
Python Developer,SRSB Workforce Solutions,"Unknown, Karnataka","₹3,00,000 - ₹5,00,000 a month",https://in.indeed.com/viewjob?jk=2fbc24850b201d87&from=shareddesktop_copy
Python Developer,Petrabytes,"Banaswadi, Bengaluru, Karnataka","Up to ₹16,62,028.90 a year",https://in.indeed.com/viewjob?jk=37b78891773bceeb&from=shareddesktop_copy
Python Developer Intern,Netzary Infodynamics,"Bengaluru, Karnataka",N/A,https://in.indeed.com/viewjob?jk=6d7ca1b6fa22a3ef&from=shareddesktop_copy
Junior_AI_Developer,Bosch Group,"Unknown, Karnataka",N/A,https://in.indeed.com/viewjob?jk=951aac9ff3653377&from=shareddesktop_copy
Python Developer,Biitcode,"Bengaluru, Karnataka","₹9,00,000 - ₹10,00,000 a year",https://in.indeed.com/viewjob?jk=e57a9ccca3912ebc&from=shareddesktop_copy
